City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,Mumford,5.2618,-0.759,78.67,83,41,6.13,GH,1707345355
127,Kushmurun,52.4503,64.6311,17.4,92,100,23.38,KZ,1707345356
128,Kailua-Kona,19.6406,-155.9956,78.76,70,75,9.22,US,1707345169
129,Guerrero Negro,27.9769,-114.0611,63.14,50,4,18.3,MX,1707345357
130,Kualakapuas,-3.0091,114.3876,74.35,98,98,0.63,ID,1707345357
131,Broken Hill,-31.95,141.4333,72.27,31,0,18.48,AU,1707345357
132,Ta`ū,-14.2336,-169.5144,81.25,87,100,27.31,AS,1707345358
133,Uliastai,47.7417,96.8444,-7.62,74,3,6.64,MN,1707345358
134,Troitskoye,52.9821,84.6757,18.77,89,90,4.65,RU,1707345359
135,Pak Phanang,8.3511,100.202,73.42,85,2,3.98,TH,1707345359
136,Portland,45.5234,-122.6762,52.68,76,40,6.91,US,1707345108
137,Türkmenbaşy,40.0222,52.9552,50.77,71,0,16.11,TM,1707345362
138,Cheney,47.4874,-117.5758,43.25,83,100,8.05,US,1707345362
139,Hekimhan,38.818,37.9312,37.92,91,64,4.27,TR,1707345363
140,Gachsaran,30.3586,50.7981,41.09,81,0,0.0,IR,1707345196
141,Puerto Ayora,-0.7393,-90.3518,85.96,93,74,7.0,EC,1707345364
142,Banjarmasin,-3.3244,114.591,77.14,96,100,1.41,ID,1707345365
143,Mugia,43.1041,-9.2179,61.92,85,100,35.37,ES,1707345366
144,Kumul,42.8,93.45,26.56,51,59,3.58,CN,1707345306
145,Bayanaul,50.7889,75.6956,16.9,86,7,12.48,KZ,1707345366
146,Alofi,-19.0595,-169.9187,85.89,70,75,8.05,NU,1707345367
147,Bandarbeyla,9.4942,50.8122,76.6,74,39,16.37,SO,1707345367
148,Iskateley,67.6803,53.1512,-4.99,98,100,10.0,RU,1707345368
149,Hotan,37.0997,79.9269,25.93,63,22,4.03,CN,1707345368
150,Vilyuchinsk,52.9306,158.4028,7.07,86,100,4.09,RU,1707345369
151,São José da Coroa Grande,-8.8978,-35.1478,81.09,81,40,11.43,BR,1707345369
152,Tadine,-21.55,167.8833,80.1,65,97,14.61,NC,1707345370
153,Rāvar,31.2656,56.8055,45.81,19,0,4.07,IR,1707345370
154,Gualdo Tadino,43.2317,12.781,50.41,75,75,30.0,IT,1707345371
